Thread numbers, array size,thread sum, sec
5,10000,4993192,0.38092637062072754
6,10000,10018433,0.3143782615661621
7,10000,15011699,0.2925760746002197
8,10000,19990429,0.26335620880126953
9,10000,24978451,0.22629857063293457
5,20000,34963328,0.7344577312469482
6,20000,44999373,0.5914559364318848
7,20000,55081874,0.5136277675628662
8,20000,65094680,0.4533421993255615
9,20000,75103919,0.45339369773864746
5,30000,90037588,1.084275245666504
6,30000,104984684,0.9323005676269531
7,30000,120064710,0.7708039283752441
8,30000,135163479,0.6718306541442871
9,30000,150169067,0.6132652759552002
5,40000,170180205,1.4575235843658447
6,40000,190196060,1.3054635524749756
7,40000,210194357,1.218881368637085
8,40000,230272223,0.9161727428436279
9,40000,250209758,0.7796149253845215
5,50000,275146266,1.9392542839050293
6,50000,300087597,1.4785490036010742
7,50000,325110069,1.3147706985473633
8,50000,350228682,1.2511353492736816
9,50000,375326611,1.1392834186553955
