method, array size, threads, time
linear, 100000, 1, 0.015000
posix, 100000, 5000, 0.371000
omp, 100000, 5000, 0.044000
linear, 100000, 1, 0.014000
posix, 100000, 2500, 0.189000
omp, 100000, 2500, 0.020000
linear, 200000, 1, 0.028000
posix, 200000, 10000, 0.760000
omp, 200000, 10000, 0.086000
linear, 200000, 1, 0.029000
posix, 200000, 5000, 0.362000
omp, 200000, 5000, 0.071000
linear, 300000, 1, 0.047000
posix, 300000, 15000, 1.111000
omp, 300000, 15000, 0.134000
linear, 300000, 1, 0.045000
posix, 300000, 7500, 0.540000
omp, 300000, 7500, 0.070000
linear, 400000, 1, 0.058000
posix, 400000, 20000, 1.461000
omp, 400000, 20000, 0.179000
linear, 400000, 1, 0.058000
posix, 400000, 10000, 0.726000
omp, 400000, 10000, 0.089000
linear, 500000, 1, 0.074000
posix, 500000, 25000, 1.855000
omp, 500000, 25000, 0.235000
linear, 500000, 1, 0.073000
posix, 500000, 12500, 0.917000
omp, 500000, 12500, 0.111000
linear, 600000, 1, 0.091000
posix, 600000, 30000, 2.204000
omp, 600000, 30000, 0.255000
linear, 600000, 1, 0.090000
posix, 600000, 15000, 1.166000
omp, 600000, 15000, 0.137000
linear, 700000, 1, 0.106000
posix, 700000, 35000, 2.786000
omp, 700000, 35000, 0.319000
linear, 700000, 1, 0.102000
posix, 700000, 17500, 1.312000
omp, 700000, 17500, 0.157000
